Genotype,DH_Dharwad,DH_IARI-DELHI,DH_IARI-Jharkhand,DH_KARNAL,DH_Pooled,GFD_Dharwad,GFD_IARI-Delhi,GFD_IARI-Jharkhand,GFD_Karnal,GFD_Pooled,GNPS_Dharwad,GNPS_IARI-Jharkhand,GNPS_Pooled,GWPS_Dharwad,GWPS_IARI-Delhi,GWPS_IARI-Jharkhand,GWPS_Karnal,GWPS_Ludhiana,GWPS_Pooled,PH_Dharwad,PH_IARI-Delhi,PH_IARI-Jharkhand,PH_Karnal,PH_Ludhiana,PH_Pooled,GY_Dharwad,GY_IARI-Delhi,GY_IARI-JKD,GY_Karnal,GY_Ludhiana,GY_Pooled
MACS6752,56.217,100.284,90.366,94.275,84.85,44.283,44.827,32.892,42.909,43.136,46.47,42.597,45.296,2.008,2.099,2.413,3.129,1.764,2.343,70.606,96.975,91.935,108.507,103.318,93.372,421.41,348.197,259.082,530.919,492.863,404.894
MACS6753,56.217,104.039,85.498,95.156,84.85,44.283,44.827,31.792,41.46,42.897,51.123,57.668,55.335,2.611,2.162,2.781,4.241,1.944,2.897,91.777,128.077,111.743,129.91,117.128,117.005,315.531,438.052,251.835,511.391,541.577,404.518
MACS6755,55.388,99.345,81.603,96.037,82.662,44.283,44.827,32.72,44.236,43.614,46.167,48.635,47.498,2.45,1.781,2.454,3.305,1.675,2.378,88.019,131.547,111.094,131.782,115.147,117.684,486.528,512.417,288.132,530.325,453.305,450.892
MACS6764,57.246,89.757,80.591,92.567,79.504,44.283,44.827,33.819,42.787,43.614,49.56,60.127,55.076,2.386,2.662,2.429,3.724,2.406,2.781,81.576,103.189,84.947,109.487,107.023,97.318,270.922,403.646,260.753,585.952,637.532,437.57
MACS6768,55.59,97.267,80.591,93.447,81.205,44.283,44.827,31.62,45.685,44.092,72.437,51.084,61.833,3.272,2.078,2.373,2.886,2.207,2.574,64.087,94.956,95.247,102.352,100.524,91.362,272.847,607.001,287.327,567.015,581.732,466.652
MACS6769,53.933,92.574,80.591,89.924,78.532,44.283,44.827,31.792,39.286,41.942,42.399,49.662,46.888,2.017,0.193,2.139,2.429,3.577,2.051,75.209,95.146,95.104,101.372,101.693,92.796,362.695,523.177,261.498,528.552,679.748,467.561
MACS6774,60.358,95.59,88.419,98.679,85.579,44.283,44.827,32.17,43.512,43.375,57.024,56.265,56.813,2.779,1.466,2.672,3.132,2.055,2.473,74.212,99.53,88.116,111.271,100.524,94.628,329.636,569.167,309.874,607.256,543.647,480.161
MP1358,57.246,90.696,84.485,93.447,80.962,44.283,44.827,32.72,42.063,42.897,53.147,62.293,57.972,2.358,1.925,2.722,3.024,2.453,2.545,80.655,102.275,96.832,110.379,103.774,99.239,478.828,436.751,264.78,663.476,635.761,509.806
MP1361,58.075,100.084,89.353,96.09,85.581,44.283,44.827,33.819,41.338,43.136,39.09,55.04,47.257,1.947,2.329,2.772,3.009,1.476,2.369,63.167,97.701,99.209,104.136,102.149,93.475,283.435,507.688,262.364,567.015,398.391,404.361
MP1367,60.559,92.574,84.485,96.971,83.393,44.283,44.827,33.819,44.236,43.853,40.641,61.822,51.504,1.911,1.781,2.554,2.959,2.007,2.277,70.53,97.701,95.247,113.946,105.398,96.934,267.072,446.209,245.454,581.218,533.018,418.057
MP1368,60.559,95.39,85.459,91.686,82.907,44.283,44.827,32.72,44.236,44.092,30.754,47.693,39.342,1.646,1.691,2.429,2.814,1.504,2.037,76.053,104.104,97.624,109.487,104.586,98.855,243.971,460.396,252.701,513.755,414.333,371.526
MP1369,53.933,94.451,78.644,91.686,79.018,44.283,44.827,31.62,43.512,43.375,42.483,50.896,46.823,2.084,1.97,2.23,2.901,1.609,2.164,73.292,100.445,89.701,100.569,97.275,91.938,451.877,455.667,247.869,540.977,448.876,425.938
MP1370,56.418,97.267,78.644,92.567,80.719,44.283,44.827,33.269,46.41,44.092,46.07,41.382,43.734,2.093,2.123,2.186,3.233,1.865,2.317,63.167,101.36,85.739,103.244,102.149,90.785,251.672,356.355,248.675,568.791,501.133,387.287
MP1371,56.418,101.022,76.696,89.043,80.233,44.283,44.827,33.269,41.338,43.136,54.407,54.193,54.448,2.441,0.162,2.423,3.283,1.789,2.057,78.814,99.53,87.324,110.379,100.524,95.204,464.39,450.938,298.6,564.648,478.99,453.143
MP1372,58.075,101.022,82.538,97.852,84.609,44.283,44.827,33.992,47.98,45.286,48.312,55.031,52.584,2.465,1.407,2.494,2.501,2.238,2.251,70.606,96.061,87.973,108.507,104.942,92.603,315.531,499.531,252.64,522.635,608.891,434.726
MP3288,54.56,89.019,76.736,86.348,75.856,44.283,44.827,34.919,42.787,43.375,41.708,48.164,45.037,1.929,1.943,2.485,2.821,2.045,2.266,84.337,102.275,95.247,111.271,102.149,99.431,226.646,398.917,211.633,568.199,548.076,391.977
MP3336,59.731,100.084,88.379,95.209,85.581,44.283,44.827,37.291,44.358,44.092,32.705,41.843,38.056,1.743,1.515,2.332,2.451,1.242,1.879,61.402,85.083,84.804,102.264,99.256,84.918,304.944,357.656,255.056,553.407,393.664,369.245
MP3523,55.388,97.468,76.736,94.275,80.474,44.283,44.827,32.72,44.961,43.853,54.891,50.142,52.614,2.459,1.754,2.423,2.684,2.026,2.277,79.735,101.36,98.417,120.189,112.71,103.466,252.634,479.313,280.885,578.851,540.99,431.003
MP3526,61.388,88.819,80.591,90.805,79.99,44.283,44.827,28.871,42.063,43.375,67.3,50.236,58.841,2.733,1.691,2.442,3.753,2.301,2.645,73.292,106.848,96.04,115.73,107.836,100.584,237.234,422.563,234.985,585.36,609.189,422.56
MP3527,63.044,95.39,86.432,95.209,84.852,44.283,44.827,36.191,42.184,44.092,40.072,50.133,45.971,1.944,1.74,2.662,3.122,2.134,2.4,81.652,96.975,91.935,112.074,104.13,96.638,273.18,627.218,287.266,562.284,589.405,468.311
MP3529,59.53,95.59,81.603,95.156,82.662,44.283,44.827,33.269,41.338,43.136,58.769,47.316,53.097,2.541,1.358,2.249,2.626,1.884,2.121,72.371,97.701,87.324,105.92,103.774,93.283,289.21,447.155,252.701,584.177,500.247,418.245
MP3535,59.731,100.084,84.485,96.09,84.852,44.283,44.827,35.641,43.633,43.375,62.95,57.009,60.885,2.739,1.875,2.469,2.992,1.764,2.425,68.766,94.231,93.519,102.264,104.13,91.643,286.656,584.656,261.498,579.446,514.12,445.984
NIAW3170,57.873,92.774,85.498,94.275,82.176,44.283,44.827,27.221,41.338,42.659,50.432,49.577,50.105,2.249,1.583,2.467,2.706,2.121,2.237,91.7,106.848,96.04,110.379,105.398,102.698,272.847,479.313,270.416,580.626,571.99,439.634
NIAW3851,57.246,94.451,87.406,95.209,83.15,44.283,44.827,30.52,38.44,41.942,43.55,48.07,45.906,2.304,2.347,2.485,2.684,1.95,2.369,74.212,99.53,96.832,116.621,94.838,96.549,315.198,384.73,259.143,509.612,517.076,392.353
NIAW3855,61.388,95.39,90.327,97.852,86.067,44.283,44.827,31.07,39.889,42.42,42.677,53.156,48.078,2.304,2.195,2.467,2.764,2.055,2.373,76.053,97.701,97.624,110.379,103.774,97.51,379.688,446.209,291.353,571.749,545.418,450.329
NIAW3882,59.731,97.267,84.485,96.09,84.122,44.283,44.827,27.771,42.063,43.375,69.432,49.2,59.372,2.861,1.871,2.423,3.363,2.377,2.618,71.451,94.042,100.794,108.595,102.149,95.781,226.646,446.209,268.001,561.689,626.904,429.127
NIAW3889,61.388,96.329,84.485,95.209,84.122,44.283,44.827,27.221,42.787,43.136,66.524,55.511,61.157,2.386,1.934,2.523,3.37,1.95,2.485,79.735,105.019,101.586,110.379,103.774,100.776,374.875,573.897,275.248,601.93,529.476,477.159
NIAW3895,62.216,90.696,86.432,94.328,83.15,44.283,44.827,32.342,45.807,44.57,40.46,39.3,40.614,2.365,1.425,2.114,2.725,1.849,2.106,81.652,104.293,92.727,113.857,106.567,99.328,359.808,565.739,280.018,555.774,510.577,452.551
NIAW3898,55.388,84.325,76.736,86.348,74.884,44.283,44.827,32.589,46.233,44.808,59.596,41.742,50.702,2.481,1.233,2.241,2.749,1.733,2.086,71.965,96.859,90.694,107.672,105.674,93.717,278.173,506.299,249.105,561.238,493,419.167
